address,fax,fullTimeSchool,id,lat,lon,name,official_id,phone,schoolType,schoolTypeEntity,state,districtNumber,schoolId
Hauptstraße 22 14476 Potsdam/OT Marquardt,033208 20188,FALSE,BB-106460,52.4608748234607,12.963574742883,Neue Grundschule Marquardt anerkannte Ersatzschule,106460,033208 20187,Grundschule,,BB,A06,Neue+Grundschule+Marquardt+anerkannte+Ersatzschule
Sternstraße 68 14480 Potsdam,0331 6009305,FALSE,BB-106306,52.3640540415084,13.1278966077596,Schiller Grundschule im Sternfeld anerkannte Ersatzschule,106306,0331 6009301,Grundschule,,BB,A01,Schiller+Grundschule+im+Sternfeld+anerkannte+Ersatzschule
Flotowstraße 10 14480 Potsdam,0331 2011049,FALSE,BB-106124,52.3824373752488,13.136714105116,Neue Grundschule Potsdam anerkannte Ersatzschule,106124,0331 20029766,Grundschule,,BB,A02,Neue+Grundschule+Potsdam+anerkannte+Ersatzschule
Espengrund 10 14482 Potsdam,,FALSE,BB-106586,52.3961084842444,13.1154131444165,Katholische Marienschule Potsdam Grundschule - anerkannte Ersatzschule,106586,0331 60037130,Grundschule,,BB,,Katholische+Marienschule+Potsdam+Grundschule+-+anerkannte+Ersatzschule
Ravensbergweg 30 14478 Potsdam,0331 88739428,FALSE,BB-106446,52.3728160,13.0793990,Internationale Grundschule Potsdam Primary School genehmigte Ersatzschule,106446,0331 8873550,Grundschule,,BB,A08,Internationale+Grundschule+Potsdam+Primary+School+genehmigte+Ersatzschule
Bisamkiez 28 14478 Potsdam,0331 8714813,FALSE,BB-106010,52.3761007006711,13.1007211321931,Freie Schule Potsdam des Vereins Freie Schule Potsdam e.V.,106010,0331 8714810,Grundschule,,BB,A03,Freie+Schule+Potsdam+des+Vereins+Freie+Schule+Potsdam+e.V.
Rudolf-Breitscheid-Straße 21 14482 Potsdam,0331 7309316,FALSE,BB-106471,52.3921631444381,13.0903312289294,Evangelische Grundschule Potsdam-Babelsberg -anerkannte Ersatzschule,106471,0331 7309314,Grundschule,,BB,,Evangelische+Grundschule+Potsdam-Babelsberg+-anerkannte+Ersatzschule
Große Weinmeisterstraße 49 14469 Potsdam,0331 2803666,FALSE,BB-106045,52.415614600892,13.0633339244654,Evangelische Grundschule Potsdam,106045,0331 2803660,Grundschule,,BB,A04,Evangelische+Grundschule+Potsdam
Kaiser-Friedrich-Straße 32 14469 Potsdam,0331 7304071,FALSE,BB-106732,52.404908930797,12.988177159635,"AWO Grundschule ""Marie Juchacz"" Potsdam - genehmigte Ersatzschule",106732,0171 8182464,Grundschule,,BB,,AWO+Grundschule+Marie+Juchacz+Potsdam+-+genehmigte+Ersatzschule
Liefeldsgrund 23-25 14478 Potsdam,0331 2733039,FALSE,BB-106320,52.359430052,13.093650013,Aktive Schule Potsdam Grundschule,106320,0331 2733034,Grundschule,,BB,A07,Aktive+Schule+Potsdam+Grundschule
Hechtsprung 14 14476 Potsdam/OT Groß Glienicke,033201 20415,FALSE,BB-103512,52.4659320290831,13.1033039832684,"Grundschule ""Hanna von Pestalozza"" ",103512,033201 20414,Grundschule,,BB,6,Grundschule+Hanna+von+Pestalozza
Ketziner Straße 31c 14476 Potsdam/OT Fahrland,033208 217874,FALSE,BB-112082,52.4719388401926,13.0049689176355,Regenbogenschule Fahrland,112082,033208 50260,Grundschule,,BB,7,Regenbogenschule+Fahrland
Haeckelstraße 74 14471 Potsdam,0331 2897521,FALSE,BB-105429,52.3892742833553,13.0229256349696,Zeppelin-Grundschule,105429,0331 2897520,Grundschule,,BB,23,Zeppelin-Grundschule
Schilfhof 29 14478 Potsdam,0331 2897281,FALSE,BB-105351,52.3781182213993,13.0970201458858,Weidenhof-Grundschule,105351,0331 2897280,Grundschule,,BB,40,Weidenhof-Grundschule
Friedrich-Wolf-Straße 12 14478 Potsdam,0331 2897631,FALSE,BB-105430,52.3675298435453,13.0961386130221,Waldstadt-Grundschule,105430,0331 2897630,Grundschule,,BB,27,Waldstadt-Grundschule
Domstraße 14b 14482 Potsdam,0331 2897651,FALSE,BB-112999,52.3961033934805,13.1162217853356,Schule am Griebnitzsee,112999,0331 2897650,Grundschule,,BB,33,Schule+am+Griebnitzsee
Burgstraße 23a 14467 Potsdam,0331 2897951,FALSE,BB-105454,52.3973839115804,13.0668958677837,Rosa-Luxemburg-Schule,105454,0331 2897950,Grundschule,,BB,19,Rosa-Luxemburg-Schule
Zum Teufelssee 2-4 14478 Potsdam,0331 2898131,FALSE,BB-113001,52.3611221886925,13.0918905162987,"Oberschule ""Theodor Fontane"" mit Primarstufe",113001,0331 2898130,Oberschule mit Grundschule,,BB,,Oberschule+Theodor+Fontane+mit+Primarstufe
Schlüterstraße 2 14471 Potsdam,0331 2898061,FALSE,BB-112963,52.388862117782,13.0133619871628,Montessori-Oberschule mit Primarstufe,112963,0331 2898060,Oberschule mit Grundschule,,BB,,Montessori-Oberschule+mit+Primarstufe
Kirschallee 172 14469 Potsdam,0331 2897601,FALSE,BB-112938,52.4156289076572,13.0337021947898,Karl-Foerster-Schule Städtische Grundschule Potsdam,112938,0331 2897600,Grundschule,,BB,25/26,Karl-Foerster-Schule+Städtische+Grundschule+Potsdam
Lise-Meitner-Straße 4-6 14480 Potsdam,0331 2897801,FALSE,BB-106008,52.3613109390306,13.1318312113027,Grundschule Im Kirchsteigfeld,106008,0331 2897800,Grundschule,,BB,56,Grundschule+Im+Kirchsteigfeld
Jakob-von-Gundling-Straße 25 14469 Potsdam,0331 2894531,FALSE,BB-106677,52.4116191054924,13.0456584490511,Grundschule im Bornstedter Feld,106677,0331 2894530,Grundschule,,BB,,Grundschule+im+Bornstedter+Feld
Potsdamer Straße 90 14469 Potsdam,0331 2896201,FALSE,BB-106720,52.4224109585651,13.0027350479749,Grundschule Bornim,106720,0331 2896200,Grundschule,,BB,,Grundschule+Bornim
Galileistraße 8 14480 Potsdam,0331 2897721,FALSE,BB-105363,52.3759168130711,13.1343294126403,Grundschule Am Pappelhain,105363,0331 2897720,Grundschule,,BB,36/45,Grundschule+Am+Pappelhain
Humboldtring 15-17 14473 Potsdam,0331 2897761,FALSE,BB-105405,52.3953137413316,13.076687335091,Grundschule am Humboldtring,105405,0331 2897760,Grundschule,,BB,37,Grundschule+am+Humboldtring
Dortustraße 28-29 14467 Potsdam,0331 2897441,FALSE,BB-105326,52.3981701562651,13.0528970412677,"Grundschule ""Max Dortu"" ",105326,0331 2897440,Grundschule,,BB,8,Grundschule+Max+Dortu
Kaiser-Friedrich-Straße 15a 14469 Potsdam,0331 2897401,FALSE,BB-103421,52.4053499950669,12.9934939031694,"Grundschule ""Ludwig Renn"" ",103421,0331 2897400,Grundschule,,BB,2,Grundschule+Ludwig+Renn
Karl-Liebknecht-Straße 29 14482 Potsdam,0331 2897481,FALSE,BB-105491,52.3953767631582,13.0938964704325,"Grundschule ""Bruno H. Bürgel"" ",105491,0331 2897480,Grundschule,,BB,16,Grundschule+Bruno+H.+Bürgel
Oskar-Meßter-Straße 4-6 14480 Potsdam,0331 2897501,FALSE,BB-105466,52.3663242337501,13.1338523535614,"Grundschule ""Am Priesterweg"" ",105466,0331 2897500,Grundschule,,BB,20,Grundschule+Am+Priesterweg
Esplanade 5 14469 Potsdam,,FALSE,BB-106770,52.4196170,13.0527790,Grundschule im Bornstedter Feld - Rote Kaserne Ost,106770,0331 2896250,Grundschule,,BB,,Grundschule+im+Bornstedter+Feld+-+Rote+Kaserne+Ost
Stephensonstraße 1 14482 Potsdam,0331 2898051,FALSE,BB-106653,52.3904201742416,13.0993421168481,Goethe-Grundschule,106653,0331 2898050,Grundschule,,BB,31,Goethe-Grundschule
Carl-von-Ossietzky-Straße 37 14471 Potsdam,0331 2897461,FALSE,BB-105478,52.3942641343588,13.0342112661059,Gerhart-Hauptmann-Grundschule Potsdam,105478,0331 2897460,Grundschule,,BB,12,Gerhart-Hauptmann-Grundschule+Potsdam
Kurfürstenstraße 51 14467 Potsdam,0331 2897561,FALSE,BB-105533,52.4042287372062,13.0615393006178,Eisenhart-Schule,105533,0331 2897560,Grundschule,,BB,24,Eisenhart-Schule
