name,houseNumbers,districtNumber,schoolId
Ahornweg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Alt Döberitzer Weg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Alter Weinberg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Am Anger,gesamt,06,Grundschule+Hanna+von+Pestalozza
Am Fenn Groß Glienicke,gesamt,06,Grundschule+Hanna+von+Pestalozza
Am Glienicker Mühlenberg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Am Gutstor,gesamt,06,Grundschule+Hanna+von+Pestalozza
Am Hämphorn,gesamt,06,Grundschule+Hanna+von+Pestalozza
Am Meedehorn,gesamt,06,Grundschule+Hanna+von+Pestalozza
Am Park,gesamt,06,Grundschule+Hanna+von+Pestalozza
Am Schlahn,gesamt,06,Grundschule+Hanna+von+Pestalozza
Am Seeblick,gesamt,06,Grundschule+Hanna+von+Pestalozza
Am Waldfrieden,gesamt,06,Grundschule+Hanna+von+Pestalozza
An der Kirche,gesamt,06,Grundschule+Hanna+von+Pestalozza
An der Sporthalle,gesamt,06,Grundschule+Hanna+von+Pestalozza
Bergstr.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Birkenweg Groß Glienicke,gesamt,06,Grundschule+Hanna+von+Pestalozza
Braumannweg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Bullenwinkel,gesamt,06,Grundschule+Hanna+von+Pestalozza
Christoph-Friedrich-Weg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Christophorusweg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Dohlenweg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Ebereschenweg Groß Glienicke,gesamt,06,Grundschule+Hanna+von+Pestalozza
Eichengrund,gesamt,06,Grundschule+Hanna+von+Pestalozza
Ernst-Thälmann-Str.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Eva-Katharina-Weg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Fährstr.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Forstallee,gesamt,06,Grundschule+Hanna+von+Pestalozza
Freiheitstr.,gesamt,06,Grundschule+Hanna+von+Pestalozza
GA Anglerwiese,gesamt,06,Grundschule+Hanna+von+Pestalozza
GA Meedehorn,gesamt,06,Grundschule+Hanna+von+Pestalozza
Glienicker Dorfstr.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Grüner Weg Groß Glienicke,gesamt,06,Grundschule+Hanna+von+Pestalozza
Güntherweg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Hainbuchenweg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Hans-Georg-Str.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Hechtsprung,gesamt,06,Grundschule+Hanna+von+Pestalozza
Heinz-Sielmann-Ring,gesamt,06,Grundschule+Hanna+von+Pestalozza
Helmut-Just-Str.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Hermann-Krome-Weg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Hüfnerweg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Im Hirschen,gesamt,06,Grundschule+Hanna+von+Pestalozza
Im Königswald,gesamt,06,Grundschule+Hanna+von+Pestalozza
Interessentenweg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Isoldestr.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Kladower Str.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Krampnitzer Str.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Krampnitzer Weg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Landhausstr.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Margarethe-Gottliebe-Weg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Nibelungenstr.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Parzivalstr.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Pilzweg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Potsdamer Chaussee Groß Glienicke,ung. 1-51 ; ger. 2-124D,06,Grundschule+Hanna+von+Pestalozza
Rehsprung,gesamt,06,Grundschule+Hanna+von+Pestalozza
Ribbeckweg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Richard-Wagner-Str.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Rotdornweg Groß Glienicke,gesamt,06,Grundschule+Hanna+von+Pestalozza
Sacrower Allee,gesamt,06,Grundschule+Hanna+von+Pestalozza
Schulzenlandweg,gesamt,06,Grundschule+Hanna+von+Pestalozza
Seeburger Chaussee,gesamt,06,Grundschule+Hanna+von+Pestalozza
Seepromenade,gesamt,06,Grundschule+Hanna+von+Pestalozza
St-Anna-Str.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Theodor-Fontane-Str.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Triftweg Groß Glienicke,gesamt,06,Grundschule+Hanna+von+Pestalozza
Tristanstr.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Ulrich-Steinhauer-Str.,gesamt,06,Grundschule+Hanna+von+Pestalozza
Von-Oppen-Weg,gesamt,06,Grundschule+Hanna+von+Pestalozza
